company_name	founded	team_size	location	country	no_founders	no_company_socials
PayCaddy	2018	14	Panama City, Panama	Panama; Remote	2	3
Tuva Health	2021	3	Salt Lake City, UT	USA	2	1
Plumter	2021	2	Lagos, Nigeria	Nigeria	2	2
Complete	2021	2	San Francisco	USA	2	2
Tingo	2021	2	Gurugram, India	India	2	1
Anfin	2021	40	Ho Chi Minh City, Vietnam	Vietnam	2	3
InsureMyTeam	2021	11	Mumbai, India	India; Remote	2	0
SALT	2020	14	Bengaluru, India	India; Remote	2	3
NearWave	2020	1	South Bend, IN	USA; Remote	1	3
Stairs Financial	2021	2	New York	USA; Remote	2	4
